created,duplicate_of,extension,file_hash,file_name,full_path,host,is_duplicate,last_accessed,last_modified,os,os_version,parent_folder,responsible_party,root_folder,scan_timestamp,size_bytes,subrole,username
2025-11-03T21:07:53.780000,,.md,d8526d31523ad6025b3a6e28a4fa1ff505f41d832b5f1b68fc2cb6661980d908,ne_xu_s_social_media_hub_smh_scope_build_plan.md,.\ne_xu_s_social_media_hub_smh_scope_build_plan.md,Envy2-0,False,2025-11-05T21:32:44,2025-11-03T21:07:53.780000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:20.033828,8905,content_asset,trcam
2025-11-03T21:08:42.100000,,.md,840230aabf169b08a49e863e613953a57e8baefa0f23ef1025cc1dd527a1984f,smh_dev_build_instructions_v_1.md,.\smh_dev_build_instructions_v_1.md,Envy2-0,False,2025-11-05T21:32:42,2025-11-03T21:08:42.100000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.165553,10803,content_asset,trcam
2025-11-03T23:52:22.650000,,.html,a337dfcdd9c985116fcb3fae33604b3c06e9d48c283f9f1de80e4c432e4bf4e2,dashboard.html,.\dashboard.html,Envy2-0,False,2025-11-05T21:32:42,2025-11-03T23:52:22.650000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.233027,1709,ui_core,trcam
2025-11-04T19:25:56.430000,,.html,a491eeb56aa1194b13292f8365c89bded5f52b6e229339d08e477a58823c4488,aero_vista_nxcore_static_dashboard_dashboard.html,.\aero_vista_nxcore_static_dashboard_dashboard.html,Envy2-0,False,2025-11-05T21:32:44,2025-11-04T19:25:56.430000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.303975,13746,ui_core,trcam
2025-11-04T20:53:48.380000,,.py,68af4bc1817c15c937db6d57f8fcd504b8eaa53aba5ba3ca6e106bc895ca4983,nxcore_dashboard.py,.\nxcore_dashboard.py,Envy2-0,False,2025-11-05T21:32:42,2025-11-04T20:53:48.380000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.388590,2559,general,trcam
2025-11-04T21:00:18.450000,,.ps1,b3289be870083de01e4e1bf2d68ada2a2190060042d8a8fbef97e9b16cf597c2,deploy-dashboard.ps1,.\deploy-dashboard.ps1,Envy2-0,False,2025-11-05T21:32:44,2025-11-04T21:00:18.450000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.442682,3021,general,trcam
2025-11-04T21:00:18.450000,,.sh,773cbc54985239f240fae19b9482316d63ad8c66ae17d078f4013d9e4663af17,transfer-dashboard.sh,.\transfer-dashboard.sh,Envy2-0,False,2025-11-05T21:32:44,2025-11-04T21:00:18.450000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.509907,1593,general,trcam
2025-11-04T21:00:18.450000,,.sh,b920c4d5baf6cca01370704e346efd775cc541571183ac8b96aaf28f29cc5880,deploy-on-server.sh,.\deploy-on-server.sh,Envy2-0,False,2025-11-05T21:32:42,2025-11-04T21:00:18.450000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.566436,2114,general,trcam
2025-11-04T21:00:18.470000,,.md,9f1997072e97f5a74c5665fff3072628fa4d49bfc6492dc213938b5570f69b9d,DEPLOY-README.md,.\DEPLOY-README.md,Envy2-0,False,2025-11-05T21:32:42,2025-11-04T21:00:18.470000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.613499,1946,content_asset,trcam
2025-11-04T21:29:38.090000,,.sh,1047344ae8a3195a387468930c920ecb2eb86f8b3f79adf04c1ab979fe6ca8e7,autostart-dashboard.sh,.\autostart-dashboard.sh,Envy2-0,False,2025-11-04T21:29:56,2025-11-04T21:29:38.090000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.664083,520,general,trcam
2025-11-08T00:03:42,,.md,0ab10ca4b9ae628ad70dcd5e262ed1d6dcb8dca3b0f1c240fbdf34ae795d6e90,EOD_REPORT.md,.\EOD_REPORT.md,Envy2-0,False,2025-11-08T00:03:42,2025-11-08T00:03:42,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.709285,11596,content_asset,trcam
2025-11-08T01:20:28,,.md,6d6fca98167babd7e4001fee2b2207ca0d36436df76e49a2f1308696d90cd930,update_report.md,.\update_report.md,Envy2-0,False,2025-11-08T01:20:28,2025-11-08T01:20:28.510000,Windows,10.0.26200,.,Unknown,.,2025-11-08T02:26:21.758489,1101,content_asset,trcam
2025-11-04T08:19:35.720000,,.md,12df5ce6868fc079104770405d0205e6386c427db27410b6cacf6e45ed94c085,aerovista-ecosystem-priority-plan-9cd71b7e.plan.md,.\Post-Its\aerovista-ecosystem-priority-plan-9cd71b7e.plan.md,Envy2-0,False,2025-11-06T22:29:26,2025-11-04T08:19:35.720000,Windows,10.0.26200,Post-Its,AeroVista,.,2025-11-08T02:26:21.883672,20730,content_asset,trcam
2025-11-07T17:55:51.380000,,.txt,d53a3183df0e5c0975be47fda69eddefc65353973a80099f43ea6b60da8bc698,AeroVista’s Facebook (Meta) Page.txt,.\Post-Its\AeroVista’s Facebook (Meta) Page.txt,Envy2-0,False,2025-11-08T02:17:40,2025-11-07T17:55:51.380000,Windows,10.0.26200,Post-Its,AeroVista,.,2025-11-08T02:26:21.937071,8783,content_asset,trcam
2025-11-07T01:05:24.860000,,.html,6a9471407e20115f18dfecd703055c28a376fc436921812a07dd2959c6a5417b,All_In_Status_Report.html,.\Post-Its\All_In_Status_Report.html,Envy2-0,False,2025-11-08T01:32:42,2025-11-07T01:05:24.860000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:21.976550,1560175,ui_core,trcam
2025-11-04T00:12:14.140000,,.rtf,c0a98de8d4607ae819d203f8c8870d792569e5f82ed97c94fba11e771e9ba4d5,Comprehensive Handoff Report .rtf,.\Post-Its\Comprehensive Handoff Report .rtf,Envy2-0,False,2025-11-06T22:29:26,2025-11-04T00:12:14.140000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.241450,467813,general,trcam
2025-11-04T07:22:57.500000,,.md,9ab89d1a6ddb2b5fbbf8d10896cddfd9face63ac3d8e82293245e29e07adb686,EOD-REPORT.md,.\Post-Its\EOD-REPORT.md,Envy2-0,False,2025-11-06T13:28:38,2025-11-04T07:22:57.500000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.384758,11933,content_asset,trcam
2025-11-04T11:04:22.460000,,.md,2149e008f7f5ebfe3c46d2db38bfec0cfc8aa7c1097e408f46b454eaa19beb09,EOD_2025-11-04_NXCore-Dash (1).md,.\Post-Its\EOD_2025-11-04_NXCore-Dash (1).md,Envy2-0,False,2025-11-06T22:29:26,2025-11-04T11:04:22.460000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.432581,2235,content_asset,trcam
2025-11-04T00:16:24.840000,.\Post-Its\EOD_2025-11-04_NXCore-Dash (1).md,.md,2149e008f7f5ebfe3c46d2db38bfec0cfc8aa7c1097e408f46b454eaa19beb09,EOD_2025-11-04_NXCore-Dash.md,.\Post-Its\EOD_2025-11-04_NXCore-Dash.md,Envy2-0,True,2025-11-06T22:29:26,2025-11-04T00:16:24.840000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.469063,2235,content_asset,trcam
2025-11-03T19:04:00.540000,,.md,b2c6c787d8713d0ed495db9f4e0b094d1deaa8e5bde27f35ea0b90c309ca9ced,EOD_Report_Seeding Protocol_2025-11-03.md,.\Post-Its\EOD_Report_Seeding Protocol_2025-11-03.md,Envy2-0,False,2025-11-06T22:29:26,2025-11-03T19:04:00.540000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.495505,3981,content_asset,trcam
2025-11-06T22:17:32.520000,,.md,24858c2eedf42d4f5943c4573efcdbbca598a28cc2bb136d2802f65c92296e4b,eod_status_report.md,.\Post-Its\eod_status_report.md,Envy2-0,False,2025-11-06T22:29:26,2025-11-06T22:17:32.520000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.532794,1864,content_asset,trcam
2025-11-04T00:09:41.130000,,.rtf,a1a0f96fbe1e92adc7c79f1358088fe819bfa3df6177e6830ca3bac8ef0f2593,NXCore Critical Fixes.rtf,.\Post-Its\NXCore Critical Fixes.rtf,Envy2-0,False,2025-11-06T22:29:26,2025-11-04T00:09:41.130000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.568566,56328,general,trcam
2025-11-04T00:08:41.910000,,.rtf,00828cdadf8563e75a6fd9a846032c1a9472156df58d23625f9eb914b6a9deb3,NXCore Traefik Critical Fixes.rtf,.\Post-Its\NXCore Traefik Critical Fixes.rtf,Envy2-0,False,2025-11-06T22:29:26,2025-11-04T00:08:41.910000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.680045,56294,general,trcam
2025-11-04T00:32:48.010000,,.html,1c51fd42c65ac8ae40fba7efa97e44922e9bacb44ac3c1c2ceefd971627edeb5,nxcore_interactive_plan_dev_client_walkthrough.html,.\Post-Its\nxcore_interactive_plan_dev_client_walkthrough.html,Envy2-0,False,2025-11-06T20:38:00,2025-11-04T00:32:48.010000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.742717,19169,ui_core,trcam
2025-11-04T00:03:05.830000,,.rtf,45c054fbc208359c4c3b7d2003e65b9e493c8b8706276489af6591503f590c64,Overall Status Report.rtf,.\Post-Its\Overall Status Report.rtf,Envy2-0,False,2025-11-06T22:29:26,2025-11-04T00:03:05.830000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.811075,93494,general,trcam
2025-11-04T08:05:55.300000,,.md,dac01453707629a866a3648d1f8e00b0cb47e810272b8d7d95b7dc692b05a366,prior1.insights.md,.\Post-Its\prior1.insights.md,Envy2-0,False,2025-11-06T22:29:26,2025-11-04T08:05:55.300000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.882442,9706,content_asset,trcam
2025-11-04T00:19:21.460000,,.rtf,fc77382bbeb9aefb6ce8a790c126e079b63a066485778c4575f7824d4f774914,Seeding Protocol EOD.rtf,.\Post-Its\Seeding Protocol EOD.rtf,Envy2-0,False,2025-11-06T22:29:26,2025-11-04T00:19:21.460000,Windows,10.0.26200,Post-Its,Unknown,.,2025-11-08T02:26:22.933504,105889,general,trcam
